文献列表,数据排序,名称,杂志名称,年份,classify,monomer1,monomer1(wt%),monomer2,monomer2(wt%),单体材料3,"比例
(wt%)",单体材料4,"比例
(wt%)",Frontal Velocity(cm/min),Frontal Temperature(℃),环境温度(℃),催化剂,"用量
(wt%)",抑制剂,"用量
(wt%)",交联剂,"用量
(wt%)",initiator1,initiator1(wt%),initiator2,initiator2(wt%),引发时间(min),"Pot life
适用期(h)",degree of curing(%),"能量输入
(J)","反应焓
(J/g)","粘度
(mPa.s)","诱导期
(min)",断裂伸长率(%),"硬度
(MPa)",弹性模量(MPa),断裂强度(MPa),Tensile strength(MPa),"拉伸模量
(MPa)",拉伸应力(MPa),"弯曲强度
(MPa)","弯曲模量
(MPa)","压缩强度
(MPa)","压缩模量
(MPa)","抗张强度
(MPa)","抗压强度
(KPa)","储能模量
(MPa)","损耗模量
(MPa)","降低模量
(MPa)","剪切强度
(MPa)","切线模量
（kPa）","冲击强度
(MPa)",Young's modulus(MPa),介电常数,"介电损耗
tan","电导率
（mS/m）","光敏性
（%）",glass transition temperature（℃）,平衡溶胀比ESR（%）,"不同pH溶胀比
（%）",pH,不同时间溶胀比（%）,"时间
（h）",不同温度溶胀比（%）,"温度
（C）","3D打印长度
（mm）","3D打印速度
（mm/s）",备注1,备注2,引发体系,引发方式
1,1,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,正戊烷,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,2,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,3,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,异丙醇,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,4,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,正丁醇,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,5,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,二氯甲烷,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,6,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,氯仿,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,7,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,90,环己烷,10,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,8,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,9,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,70,环己烷,30,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,10,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,60,环己烷,40,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
